Phase,FileName,CC,MSE,SSIM
phase1-2,phase1-2_input0034-modality0-WarpedToTemplate.nii.gz,0.9736744434962419,0.009514661593156499,0.9077781105764889
phase1-2,phase1-2_input0056-modality0-WarpedToTemplate.nii.gz,0.969708587404839,0.017005126136572703,0.8757916484066678
phase1-2,phase1-2_input0084-modality0-WarpedToTemplate.nii.gz,0.9733332181387682,0.019275860462419896,0.8692029848621439
phase1-2,phase1-2_input0025-modality0-WarpedToTemplate.nii.gz,0.9695039208183798,0.021163259228795542,0.8625592181552459
phase1-2,phase1-2_input0047-modality0-WarpedToTemplate.nii.gz,0.9744080676204371,0.02484962221326582,0.8529170985204245
phase1-2,phase1-2_input0011-modality0-WarpedToTemplate.nii.gz,0.9742221204058811,0.012529646814824963,0.8961714044081994
phase1-2,phase1-2_input0073-modality0-WarpedToTemplate.nii.gz,0.9758784183725357,0.020690049866198188,0.8668504629400432
phase1-2,phase1-2_input0000-modality0-WarpedToTemplate.nii.gz,0.9690191917743031,0.01004850479297333,0.8969515016586289
phase1-2,phase1-2_input0062-modality0-WarpedToTemplate.nii.gz,0.9711581912437413,0.009618873188157776,0.9033160881104468
phase1-2,phase1-2_input0039-modality0-WarpedToTemplate.nii.gz,0.970914618462898,0.019521778776878617,0.874305517251662
phase1-2,phase1-2_input0089-modality0-WarpedToTemplate.nii.gz,0.9745094824248468,0.013225903672433592,0.8919491417189273
phase1-2,phase1-2_input0028-modality0-WarpedToTemplate.nii.gz,0.96854903875772,0.01574912395865926,0.8810588264081147
phase1-2,phase1-2_input0048-modality0-WarpedToTemplate.nii.gz,0.9758887872938022,0.012158252160138277,0.9018907653034027
phase1-2,phase1-2_input0059-modality0-WarpedToTemplate.nii.gz,0.9722641615721174,0.008316256099779703,0.8994664919755658
phase1-2,phase1-2_input0002-modality0-WarpedToTemplate.nii.gz,0.971236886823279,0.012731190760626232,0.8915556375548399
phase1-2,phase1-2_input0060-modality0-WarpedToTemplate.nii.gz,0.9720781720267765,0.02317966888382832,0.8591539052915517
phase1-2,phase1-2_input0013-modality0-WarpedToTemplate.nii.gz,0.9708747584522879,0.03160098604779882,0.8238233365010436
phase1-2,phase1-2_input0071-modality0-WarpedToTemplate.nii.gz,0.9698106297087258,0.024077202815434056,0.8485235355675159
phase1-2,phase1-2_input0027-modality0-WarpedToTemplate.nii.gz,0.9722887436109341,0.007996519356834693,0.9036002272383639
phase1-2,phase1-2_input0086-modality0-WarpedToTemplate.nii.gz,0.9709979237265639,0.009892951409260725,0.9031739489591211
phase1-2,phase1-2_input0045-modality0-WarpedToTemplate.nii.gz,0.9717593050155927,0.01851232838106507,0.8671190042792691
phase1-2,phase1-2_input0036-modality0-WarpedToTemplate.nii.gz,0.9745042566273463,0.005640749422128508,0.9102547158432549
phase1-2,phase1-2_input0054-modality0-WarpedToTemplate.nii.gz,0.9659477237330976,0.008173355631111741,0.8999078180295798
phase1-2,phase1-2_input0085-modality0-WarpedToTemplate.nii.gz,0.9690765802991241,0.021400016655489223,0.8649994193245968
phase1-2,phase1-2_input0024-modality0-WarpedToTemplate.nii.gz,0.9734255524548553,0.022914591803659085,0.8603049915928469
phase1-2,phase1-2_input0046-modality0-WarpedToTemplate.nii.gz,0.9701318711721961,0.01202555391793127,0.8914450399532455
phase1-2,phase1-2_input0035-modality0-WarpedToTemplate.nii.gz,0.9772366160858248,0.015558952874893001,0.8876914187118025
